firstName,lastName,username,email,groupName,groupCategory,filter
Lea,Everit,leverit0,leverit0@liteengineering.nl,project-7804,Provincie Drenthe,Netherlands
Norris,Covert,ncovert1,ncovert1@liteengineering.nl,project-8914,Provincie Friesland,Netherlands
Reiko,Blezard,rblezard2,rblezard2@liteengineering.nl,project-7814,Provincie Drenthe,Netherlands
Anita,Halwill,ahalwill3,ahalwill3@liteengineering.nl,project-9674,Provincie Groningen,Netherlands
Conrad,Betonia,cbetonia4,cbetonia4@liteengineering.nl,project-7814,Provincie Drenthe,Netherlands
Ernie,Gerleit,egerleit5,egerleit5@liteengineering.nl,project-7909,Provincie Drenthe,Netherlands
Yard,Fewkes,yfewkes6,yfewkes6@liteengineering.nl,project-9674,Provincie Groningen,Netherlands
Had,Gladman,hgladman7,hgladman7@liteengineering.nl,project-9204,Provincie Friesland,Netherlands
Bob,Linnane,blinnane8,blinnane8@liteengineering.nl,project-9730,Provincie Groningen,Netherlands
Fax,Gilfillan,fgilfillan9,fgilfillan9@liteengineering.nl,project-9730,Provincie Groningen,Netherlands
Kylila,Flannigan,kflannigana,kflannigana@liteengineering.nl,project-7804,Provincie Drenthe,Netherlands
Donny,Webber,dwebberb,dwebberb@liteengineering.nl,project-8934,Provincie Friesland,Netherlands
Alyce,Deppe,adeppec,adeppec@liteengineering.nl,project-9204,Provincie Friesland,Netherlands
Lucine,Kondratowicz,lkondratowiczd,lkondratowiczd@liteengineering.nl,project-9674,Provincie Groningen,Netherlands
Chrissie,Burhill,cburhille,cburhille@liteengineering.nl,project-8904,Provincie Friesland,Netherlands
